['Admiral', 'Audie'] score: -1.0
['Admiral', 'Audie', 'Annalisa'] score: -2.0
['Al', 'Bea', 'Biskit'] score: -3.0
['Admiral', 'Audie', 'Curlos', 'Muffy'] score: -4.0
['Al', 'Bea', 'Biskit', 'Boone'] score: -6.0
['Admiral', 'Maddie', 'Al', 'Bea', 'Nana'] score: -7.0
['Al', 'Bea', 'Biskit', 'Boone', 'Deli'] score: -8.0
['Al', 'Bea', 'Biskit', 'Boone', 'Nana'] score: -9.0
['Admiral', 'Maddie', 'Al', 'Bea', 'Nana', 'Biskit'] score: -10.0
['Al', 'Bea', 'Biskit', 'Boone', 'Nana', 'Cookie'] score: -11.0
['Al', 'Bea', 'Biskit', 'Boone', 'Nana', 'Deli'] score: -12.0
['Admiral', 'Maddie', 'Al', 'Bea', 'Nana', 'Biskit', 'Deli'] score: -13.0
['Agnes', 'Kitty', 'Greta', 'Hamlet', 'Monique', 'Katt', 'Olivia'] score: -14.0
['Al', 'Bea', 'Biskit', 'Boone', 'Nana', 'Deli', 'Maddie'] score: -15.0
['Al', 'Bea', 'Biskit', 'Boone', 'Nana', 'Deli', 'Marcel'] score: -16.0
['Agnes', 'Kitty', 'Greta', 'Hamlet', 'Monique', 'Katt', 'Olivia', 'Bella'] score: -17.0
['Agnes', 'Kitty', 'Greta', 'Hamlet', 'Monique', 'Katt', 'Olivia', 'Purrl'] score: -18.0
['Al', 'Bea', 'Biskit', 'Boone', 'Nana', 'Deli', 'Marcel', 'Maddie'] score: -19.0
['Admiral', 'Maddie', 'Al', 'Bea', 'Nana', 'Biskit', 'Deli', 'Boone', 'Marcel'] score: -20.0
['Agnes', 'Kitty', 'Greta', 'Hamlet', 'Monique', 'Katt', 'Olivia', 'Purrl', 'Bella'] score: -22.0
['Bob', 'Clay', 'Kiki', 'Moose', 'Mitzi', 'Apple', 'Moe', 'Ankha', 'Penelope'] score: -23.0
['Agnes', 'Kitty', 'Greta', 'Hamlet', 'Monique', 'Katt', 'Olivia', 'Purrl', 'Bella', 'Beardo'] score: -24.0
['Agnes', 'Kitty', 'Greta', 'Hamlet', 'Monique', 'Katt', 'Olivia', 'Purrl', 'Bella', 'Boone'] score: -25.0
['Agnes', 'Kitty', 'Greta', 'Hamlet', 'Monique', 'Katt', 'Olivia', 'Purrl', 'Bella', 'Raymond'] score: -26.0
--- 663.7786829471588 seconds ---
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
['Agnes', 'Bella', 'Greta', 'Hamlet', 'Katt', 'Kitty', 'Monique', 'Olivia', 'Purrl', 'Raymond'] -26.0
